date,time,open,high,low,close,daily_poc,h4_poc,weekly_poc,adx_14,di_plus_14,di_minus_14
2021.05.21,08:00,13542.889,13546.469,13518.069,13526.259,13173.379,13512.529,12958.009,56.39,29.89,6.25
2021.05.21,09:00,13526.059,13572.409,13487.719,13545.579,13173.379,13512.529,12958.009,55.21,25.23,10.86
2021.05.21,10:00,13545.799,13551.287,13449.129,13477.589,13173.379,13512.529,12958.009,52.36,20.98,15.4
2021.05.21,11:00,13477.539,13490.787,13420.049,13425.607,13173.379,13512.529,12958.009,48.69,18.64,18.27
2021.05.21,12:00,13425.269,13445.899,13403.719,13427.569,13173.379,13425.607,12958.009,45.65,17.39,19.63
2021.05.21,13:00,13427.509,13458.787,13412.719,13450.049,13173.379,13425.607,12958.009,42.39,18.16,18.2
2021.05.21,14:00,13450.017,13467.117,13418.639,13447.619,13173.379,13425.607,12958.009,39.63,18.09,16.81
2021.05.21,15:00,13447.789,13460.617,13400.269,13413.777,13173.379,13425.607,12958.009,37.14,16.41,18.08
2021.05.21,16:00,13413.109,13425.127,13408.879,13415.109,13173.379,13413.777,12958.009,34.83,15.98,17.6
2021.05.23,18:00,13385.279,13396.589,13360.639,13376.019,13413.777,13415.109,12958.009,34.05,14.6,23.74
2021.05.23,19:00,13376.057,13398.099,13367.189,13370.179,13413.777,13415.109,12958.009,33.26,14.11,22.55
2021.05.23,20:00,13371.289,13418.297,13364.919,13415.019,13413.777,13370.179,12958.009,31.76,16.14,20.62
2021.05.23,21:00,13415.399,13446.899,13415.209,13437.709,13413.777,13370.179,12958.009,29.56,19.97,19.55
2021.05.23,22:00,13437.897,13440.397,13387.779,13408.569,13413.777,13370.179,12958.009,28.16,18.27,22.31
2021.05.23,23:00,13408.567,13431.899,13407.629,13423.289,13413.777,13370.179,12958.009,26.86,17.54,21.41
2021.05.24,00:00,13423.207,13424.619,13399.539,13414.129,13370.179,13408.569,12985.159,25.88,16.78,21.87
2021.05.24,01:00,13414.397,13429.209,13410.809,13418.129,13370.179,13408.569,12985.159,24.8,17.05,21.16
2021.05.24,02:00,13418.269,13438.857,13414.619,13431.179,13370.179,13408.569,12985.159,23.43,18.06,20.21
2021.05.24,03:00,13431.399,13486.889,13429.219,13482.629,13370.179,13408.569,12985.159,22.86,24.74,18.14
2021.05.24,04:00,13482.759,13486.109,13462.119,13466.539,13370.179,13414.129,12985.159,22.32,23.66,17.35
2021.05.24,05:00,13466.619,13500.999,13466.359,13499.099,13370.179,13414.129,12985.159,22.23,24.89,16.24
2021.05.24,06:00,13499.287,13501.789,13487.319,13495.649,13370.179,13414.129,12985.159,22.17,24.35,15.79
2021.05.24,07:00,13496.069,13500.899,13480.629,13498.849,13370.179,13414.129,12985.159,21.82,23.37,16.48
2021.05.24,08:00,13498.907,13521.789,13497.519,13513.699,13370.179,13466.539,12985.159,22.09,26.47,15.67
2021.05.24,09:00,13513.657,13587.319,13498.049,13583.269,13370.179,13466.539,12985.159,23.7,34.17,13.1
2021.05.24,10:00,13583.359,13653.587,13583.339,13641.249,13370.179,13466.539,12985.159,26.05,41.51,11.5
2021.05.24,11:00,13641.227,13659.989,13634.869,13651.769,13370.179,13466.539,12985.159,28.3,40.79,10.98
2021.05.24,12:00,13652.529,13664.499,13630.679,13640.069,13370.179,13513.699,12985.159,30.44,39.11,10.31
2021.05.24,13:00,13639.829,13666.597,13635.899,13658.779,13370.179,13513.699,12985.159,32.46,37.29,9.73
2021.05.24,14:00,13659.107,13687.299,13657.379,13680.309,13370.179,13513.699,12985.159,34.56,39.07,9.19
2021.05.24,15:00,13680.237,13685.299,13633.129,13639.669,13370.179,13513.699,12985.159,35.45,35.37,12.73
2021.05.24,16:00,13640.489,13650.099,13633.639,13649.909,13370.179,13639.669,12985.159,36.29,34.26,12.33
2021.05.24,18:00,13648.717,13665.489,13640.249,13665.489,13370.179,13639.669,12985.159,37.3,35.57,11.72
2021.05.24,19:00,13665.367,13669.999,13653.539,13657.299,13370.179,13639.669,12985.159,38.3,35.3,11.33
2021.05.24,20:00,13657.047,13672.097,13632.609,13662.099,13370.179,13649.909,12985.159,38.27,32.5,14.63
2021.05.24,21:00,13662.399,13674.287,13644.029,13655.909,13370.179,13649.909,12985.159,38.29,30.95,13.74
2021.05.24,22:00,13655.877,13669.999,13651.819,13666.629,13370.179,13649.909,12985.159,38.31,29.77,13.21
2021.05.24,23:00,13666.729,13678.799,13665.409,13669.869,13370.179,13649.909,12985.159,38.52,30.83,12.82
2021.05.25,00:00,13669.817,13672.797,13665.779,13670.339,13414.129,13655.909,12985.159,38.71,30.32,12.61
2021.05.25,01:00,13670.539,13698.099,13667.829,13692.589,13414.129,13655.909,12985.159,39.43,34.08,11.72
2021.05.25,02:00,13692.707,13738.589,13689.039,13731.107,13414.129,13655.909,12985.159,40.77,39.34,10.43
2021.05.25,03:00,13730.199,13734.747,13712.839,13718.849,13414.129,13655.909,12985.159,42.0,37.38,9.91
2021.05.25,04:00,13719.419,13720.789,13694.859,13710.269,13414.129,13670.339,12985.159,42.19,35.14,13.47
2021.05.25,05:00,13710.519,13719.167,13703.249,13718.119,13414.129,13670.339,12985.159,42.36,33.8,12.95
2021.05.25,06:00,13718.147,13726.117,13685.179,13687.209,13414.129,13670.339,12985.159,41.58,30.57,15.93
2021.05.25,07:00,13687.589,13719.789,13676.279,13712.639,13414.129,13670.339,12985.159,40.43,27.56,16.38
2021.05.25,08:00,13712.897,13717.679,13695.829,13702.899,13414.129,13687.209,12985.159,39.36,26.17,15.55
2021.05.25,09:00,13703.319,13733.309,13653.019,13653.069,13414.129,13687.209,12985.159,36.56,21.8,21.85
2021.05.25,10:00,13653.119,13687.797,13637.839,13681.537,13414.129,13687.209,12985.159,34.47,19.61,22.71
2021.05.25,11:00,13681.229,13685.289,13610.229,13646.799,13414.129,13687.209,12985.159,33.35,16.87,24.67
2021.05.25,12:00,13646.629,13660.797,13633.589,13642.749,13414.129,13646.799,12985.159,32.31,16.0,23.4
2021.05.25,13:00,13642.737,13665.899,13619.419,13652.819,13414.129,13646.799,12985.159,31.74,14.6,24.01
2021.05.25,14:00,13653.027,13657.799,13628.639,13647.609,13414.129,13646.799,12985.159,31.21,13.79,22.68
2021.05.25,15:00,13647.709,13662.299,13623.419,13660.299,13414.129,13646.799,12985.159,30.88,12.78,22.0
2021.05.25,16:00,13659.409,13663.119,13654.419,13655.649,13414.129,13642.749,12985.159,30.52,12.72,21.61
2021.05.25,18:00,13669.669,13703.797,13665.939,13697.869,13414.129,13642.749,12985.159,28.36,19.49,19.57
2021.05.25,19:00,13698.619,13699.689,13688.119,13697.019,13414.129,13642.749,12985.159,26.35,19.02,19.11
2021.05.25,20:00,13697.199,13721.799,13691.809,13714.629,13414.129,13655.649,12985.159,25.27,22.43,17.92
2021.05.25,21:00,13714.627,13721.899,13700.919,13706.099,13414.129,13655.649,12985.159,24.27,21.45,17.11
2021.05.25,22:00,13706.119,13717.617,13703.979,13711.879,13414.129,13655.649,12985.159,23.34,20.8,16.59
2021.05.25,23:00,13711.877,13715.167,13707.489,13707.539,13414.129,13655.649,12985.159,22.47,20.42,16.29
2021.05.26,00:00,13707.587,13711.189,13703.409,13708.639,13642.749,13706.099,12985.159,21.45,20.02,16.99
2021.05.26,01:00,13709.099,13720.409,13708.159,13714.909,13642.749,13706.099,12985.159,20.92,21.78,16.45
2021.05.26,02:00,13715.049,13718.599,13673.579,13712.539,13642.749,13706.099,12985.159,20.07,19.34,23.21
2021.05.26,03:00,13712.659,13716.199,13674.819,13699.069,13642.749,13706.099,12985.159,19.29,17.41,20.89
2021.05.26,04:00,13699.047,13708.709,13686.339,13691.409,13642.749,13699.069,12985.159,18.56,16.46,19.75
2021.05.26,05:00,13691.687,13715.589,13686.039,13689.619,13642.749,13699.069,12985.159,17.51,16.95,18.32
2021.05.26,06:00,13690.119,13705.369,13687.909,13702.559,13642.749,13699.069,12985.159,16.53,16.21,17.51
2021.05.26,07:00,13702.589,13730.209,13699.129,13713.639,13642.749,13699.069,12985.159,16.31,21.17,16.15
2021.05.26,08:00,13713.909,13726.189,13695.329,13702.569,13642.749,13689.619,12985.159,15.89,19.54,15.85
2021.05.26,09:00,13702.999,13711.399,13665.599,13674.169,13642.749,13689.619,12985.159,15.46,17.4,21.22
2021.05.26,10:00,13674.137,13716.199,13659.179,13710.379,13642.749,13689.619,12985.159,15.33,15.18,19.94
2021.05.26,11:00,13710.499,13721.287,13683.119,13716.889,13642.749,13689.619,12985.159,14.93,15.02,18.26
2021.05.26,12:00,13716.897,13727.899,13711.179,13715.009,13642.749,13674.169,12985.159,14.2,15.96,17.56
2021.05.26,13:00,13714.907,13727.589,13679.319,13689.739,13642.749,13674.169,12985.159,14.82,14.26,22.72
2021.05.26,14:00,13690.209,13714.717,13686.919,13706.189,13642.749,13674.169,12985.159,15.4,13.38,21.31
2021.05.26,15:00,13706.147,13712.199,13681.459,13705.499,13642.749,13674.169,12985.159,16.13,12.46,21.07
2021.05.26,16:00,13705.447,13709.587,13703.259,13708.659,13642.749,13689.739,12985.159,16.81,12.27,20.75
2021.05.26,18:00,13703.309,13718.499,13702.489,13706.029,13642.749,13689.739,12985.159,16.87,13.98,19.94
2021.05.26,19:00,13706.057,13709.809,13696.319,13709.717,13642.749,13689.739,12985.159,17.19,13.49,20.82
2021.05.26,20:00,13709.599,13714.999,13686.247,13695.779,13642.749,13706.029,12985.159,17.91,12.51,21.86
2021.05.26,21:00,13695.899,13697.389,13662.939,13674.739,13642.749,13706.029,12985.159,19.39,11.43,25.81
2021.05.26,22:00,13674.997,13681.287,13665.239,13674.777,13642.749,13706.029,12985.159,20.76,10.95,24.74
2021.05.26,23:00,13674.439,13684.097,13667.109,13679.919,13642.749,13706.029,12985.159,21.82,11.21,23.63
2021.05.27,00:00,13679.907,13681.017,13666.979,13676.039,13674.169,13674.739,12985.159,22.82,10.77,22.75
